No Filter (I), No Filter (V), Yellow Filter (I), Yellow Filter (V), Green Filter (I), Green Filter (V), Pink Filter (I), Pink Filter (V), Blue Filter (I), Blue Filter (V)
I (in mA)    , V ( in V)    , I (in mA)        , V (in V)         , I (in mA)      , V (in V)       , I (in mA)     , V (in V)       , I (in mA)      , V (in V)
1.82         , 0.125        , 1.18             , 0.0833           , 0.48           , 0.0339         , 1.21          , 0.0779         , 0.86           , 0.0611
1.74         , 0.6          , 1.14             , 0.655            , 0.47           , 0.586          , 1.17          , 0.972          , 0.8            , 1.247
1.68         , 1.06         , 1.06             , 1.395            , 0.45           , 0.912          , 1.01          , 2.021          , 0.79           , 1.345
1.57         , 1.688        , 0.95             , 2.016            , 0.42           , 1.24           , 0.94          , 2.275          , 0.78           , 1.448
1.5          , 1.947        , 0.91             , 2.176            , 0.4            , 1.522          , 0.93          , 2.329          , 0.77           , 1.575
1.43         , 2.192        , 0.9              , 2.199            , 0.39           , 1.788          , 0.89          , 2.461          , 0.76           , 1.656
1.38         , 2.308        , 0.88             , 2.287            , 0.38           , 1.832          , 0.86          , 2.545          , 0.75           , 1.77
1.31         , 2.478        , 0.87             , 2.308            , 0.36           , 1.992          , 0.85          , 2.589          , 0.73           , 1.89
1.28         , 2.547        , 0.84             , 2.427            , 0.32           , 2.185          , 0.84          , 2.617          , 0.72           , 1.886
1.24         , 2.677        , 0.83             , 2.47             , 0.3            , 2.384          , 0.83          , 2.65           , 0.71           , 1.973
1.2          , 2.784        , 0.81             , 2.521            , 0.28           , 2.504          , 0.82          , 2.709          , 0.7            , 2.075
1.17         , 2.86         , 0.77             , 2.683            , 0.27           , 2.619          , 0.81          , 2.721          , 0.67           , 2.115
1.12         , 2.978        , 0.74             , 2.768            , 0.24           , 2.716          , 0.8           , 2.762          , 0.66           , 2.151
1.1          , 3.026        , 0.72             , 2.839            , 0.23           , 2.822          , 0.79          , 2.807          , 0.65           , 2.215
0.99         , 3.291        , 0.71             , 2.871            , 0.22           , 2.892          , 0.77          , 2.848          , 0.64           , 2.292
0.94         , 3.427        , 0.7              , 2.898            , 0.21           , 2.924          , 0.75          , 2.907          , 0.6            , 2.385
0.87         , 3.593        , 0.69             , 2.945            , 0.2            , 2.998          , 0.73          , 2.971          , 0.59           , 2.474
0.79         , 3.755        , 0.67             , 2.99             , 0.19           , 3.037          , 0.72          , 3.025          , 0.58           , 2.537
0.72         , 3.874        , 0.64             , 3.072            , 0.17           , 3.088          , 0.7           , 3.077          , 0.57           , 2.627
0.64         , 3.967        , 0.63             , 3.12             , 0.16           , 3.143          , 0.68          , 3.137          , 0.56           , 2.649
0.51         , 4.096        , 0.62             , 3.168            , 0.15           , 3.181          , 0.66          , 3.172          , 0.54           , 2.668
0.46         , 4.139        , 0.58             , 3.311            , 0.14           , 3.209          , 0.65          , 3.226          , 0.52           , 2.734
0.34         , 4.22         , 0.57             , 3.342            , 0.13           , 3.245          , 0.64          , 3.25           , 0.51           , 2.779
0.32         , 4.232        , 0.55             , 3.395            , 0.12           , 3.27           , 0.63          , 3.279          , 0.5            , 2.847
0.29         , 4.251        , 0.53             , 3.441            , 0.11           , 3.294          , 0.61          , 3.331          , 0.49           , 2.939
0.27         , 4.257        , 0.52             , 3.481            , 0.1            , 3.329          , 0.59          , 3.38           , 0.48           , 2.968
0.25         , 4.268        , 0.51             , 3.495            , 0.09           , 3.351          , 0.56          , 3.474          , 0.47           , 3.029
0.24         , 4.276        , 0.5              , 3.533            , 0.08           , 3.365          , 0.53          , 3.584          , 0.46           , 3.095
0.21         , 4.288        , 0.48             , 3.564            , 0.07           , 3.383          , 0.51          , 3.604          , 0.45           , 3.11
0.19         , 4.299        , 0.47             , 3.573            , 0.06           , 3.405          , 0.5           , 3.627          , 0.44           , 3.132
0.18         , 4.305        , 0.46             , 3.593            , 0.05           , 3.43           , 0.49          , 3.639          , 0.43           , 3.183
0.16         , 4.314        , 0.45             , 3.619            , 0.04           , 3.449          , 0.48          , 3.654          , 0.42           , 3.222
0.15         , 4.319        , 0.44             , 3.637            , 0.03           , 3.472          , 0.47          , 3.669          , 0.41           , 3.256
0.11         , 4.336        , 0.42             , 3.665            , 0.02           , 3.484          , 0.46          , 3.689          , 0.4            , 3.257
0.08         , 4.348        , 0.41             , 3.687            ,                ,                , 0.45          , 3.727          , 0.39           , 3.313
0.05         , 4.361        , 0.4              , 3.721            ,                ,                , 0.44          , 3.726          , 0.37           , 3.361
0.03         , 4.372        , 0.38             , 3.739            ,                ,                , 0.43          , 3.73           , 0.36           , 3.389
             ,              , 0.37             , 3.758            ,                ,                , 0.42          , 3.755          , 0.34           , 3.435
             ,              , 0.36             , 3.773            ,                ,                , 0.4           , 3.775          , 0.31           , 3.501
             ,              , 0.34             , 3.798            ,                ,                , 0.38          , 3.799          , 0.29           , 3.529
             ,              , 0.32             , 3.831            ,                ,                , 0.37          , 3.808          , 0.27           , 3.568
             ,              , 0.29             , 3.856            ,                ,                , 0.36          , 3.821          , 0.25           , 3.606
             ,              , 0.28             , 3.877            ,                ,                , 0.35          , 3.838          , 0.23           , 3.635
             ,              , 0.25             , 3.9              ,                ,                , 0.34          , 3.854          , 0.22           , 3.652
             ,              , 0.23             , 3.931            ,                ,                , 0.33          , 3.866          , 0.21           , 3.678
             ,              , 0.21             , 3.946            ,                ,                , 0.32          , 3.873          , 0.2            , 3.687
             ,              , 0.2              , 3.961            ,                ,                , 0.31          , 3.885          , 0.19           , 3.704
             ,              , 0.19             , 3.972            ,                ,                , 0.3           , 3.899          , 0.18           , 3.722
             ,              , 0.17             , 3.985            ,                ,                , 0.29          , 3.916          , 0.16           , 3.746
             ,              , 0.15             , 3.994            ,                ,                , 0.26          , 3.94           , 0.15           , 3.757
             ,              , 0.14             , 4.002            ,                ,                , 0.25          , 3.952          , 0.14           , 3.768
             ,              , 0.1              , 4.032            ,                ,                , 0.24          , 3.962          , 0.13           , 3.786
             ,              , 0.08             , 4.055            ,                ,                , 0.23          , 3.976          , 0.12           , 3.798
             ,              , 0.05             , 4.075            ,                ,                , 0.2           , 4.003          , 0.1            , 3.815
             ,              ,                  ,                  ,                ,                , 0.17          , 4.03           , 0.08           , 3.837
             ,              ,                  ,                  ,                ,                , 0.15          , 4.05           , 0.07           , 3.854
             ,              ,                  ,                  ,                ,                , 0.14          , 4.055          , 0.05           , 3.867
             ,              ,                  ,                  ,                ,                , 0.12          , 4.068          , 0.04           , 3.877
             ,              ,                  ,                  ,                ,                , 0.11          , 4.075          , 0.03           , 3.882
             ,              ,                  ,                  ,                ,                , 0.1           , 4.084          ,                , 
             ,              ,                  ,                  ,                ,                , 0.09          , 4.097          ,                , 
             ,              ,                  ,                  ,                ,                , 0.08          , 4.103          ,                , 
             ,              ,                  ,                  ,                ,                , 0.07          , 4.11           ,                , 
             ,              ,                  ,                  ,                ,                , 0.06          , 4.173          ,                , 
             ,              ,                  ,                  ,                ,                , 0.05          , 4.118          ,                , 
             ,              ,                  ,                  ,                ,                , 0.04          , 4.125          ,                , 
             ,              ,                  ,                  ,                ,                , 0.03          , 4.132          ,                , 